anon_polygon_id,date,crop_type,ndvi_observed,ndvi_filled,is_reconstructed,is_control_point
AOI-0001,2010-04-01,озимая пшеница,,0.3391915529603556,True,False
AOI-0001,2010-04-02,озимая пшеница,,0.35483339040141804,True,False
AOI-0001,2010-04-03,озимая пшеница,,0.361439124872265,True,False
AOI-0001,2010-04-04,озимая пшеница,,0.38149662714929716,True,False
AOI-0001,2010-04-05,озимая пшеница,,0.40028719114220046,True,False
AOI-0001,2010-04-06,озимая пшеница,,0.4399094692288448,True,False
AOI-0001,2010-04-07,озимая пшеница,0.4918884405159174,0.4918884405159174,False,False
AOI-0001,2010-04-08,озимая пшеница,,0.493682861685239,True,False
AOI-0001,2010-04-09,озимая пшеница,,0.5095542540672093,True,False
AOI-0001,2010-04-10,озимая пшеница,,0.4735410727449619,True,False
AOI-0001,2010-04-11,озимая пшеница,,0.5005491446093299,True,False
AOI-0001,2010-04-12,озимая пшеница,,0.5234960360573231,True,False
AOI-0001,2010-04-13,озимая пшеница,,0.5706002499075924,True,False
AOI-0001,2010-04-14,озимая пшеница,,0.5598567575286145,True,False
AOI-0001,2010-04-15,озимая пшеница,0.6843533592943742,0.6843533592943742,False,False
AOI-0001,2010-04-16,озимая пшеница,,0.666160458202869,True,False
AOI-0001,2010-04-17,озимая пшеница,,0.6543591356391515,True,False
AOI-0001,2010-04-18,озимая пшеница,,0.6581342295838754,True,False
AOI-0001,2010-04-19,озимая пшеница,,0.6416446336741248,True,False
AOI-0001,2010-04-20,озимая пшеница,,0.667735295217044,True,False
AOI-0001,2010-04-21,озимая пшеница,,0.6634550407091083,True,False
AOI-0001,2010-04-22,озимая пшеница,,0.6802467084791858,True,False
AOI-0001,2010-04-23,озимая пшеница,0.7044384976743348,0.7044384976743348,False,False
AOI-0001,2010-04-24,озимая пшеница,0.8261870272789141,0.8261870272789141,False,False
AOI-0001,2010-04-25,озимая пшеница,,0.7245334237938409,True,False
AOI-0001,2010-04-26,озимая пшеница,,0.7114912230394845,True,False
AOI-0001,2010-04-27,озимая пшеница,,0.7090153408659712,True,False
AOI-0001,2010-04-28,озимая пшеница,,0.7175159258041828,True,False
AOI-0001,2010-04-29,озимая пшеница,,0.7194052805855268,True,False
AOI-0001,2010-04-30,озимая пшеница,,0.6688527082362397,True,False
AOI-0001,2010-05-01,озимая пшеница,0.8189282684222362,0.8189282684222362,False,False
AOI-0001,2010-05-02,озимая пшеница,0.8030253307489713,0.8030253307489713,False,False
AOI-0001,2010-05-03,озимая пшеница,,0.6732275272923022,True,False
AOI-0001,2010-05-04,озимая пшеница,,0.7267680928514657,True,False
AOI-0001,2010-05-05,озимая пшеница,,0.7578070740214797,True,False
AOI-0001,2010-05-06,озимая пшеница,,0.7620836886023412,True,False
AOI-0001,2010-05-07,озимая пшеница,,0.7635266879739117,True,False
AOI-0001,2010-05-08,озимая пшеница,,0.7172884142247455,True,False
AOI-0001,2010-05-09,озимая пшеница,0.756947746570869,0.756947746570869,False,False
AOI-0001,2010-05-10,озимая пшеница,,0.7206407064828032,True,False
AOI-0001,2010-05-11,озимая пшеница,,0.7015929133841484,True,False
AOI-0001,2010-05-12,озимая пшеница,,0.6835997724162155,True,False
AOI-0001,2010-05-13,озимая пшеница,,0.7024670042192064,True,False
AOI-0001,2010-05-14,озимая пшеница,,0.6993662695690485,True,False
AOI-0001,2010-05-15,озимая пшеница,,0.6901376733873337,True,False
AOI-0001,2010-05-16,озимая пшеница,,0.7240051680363901,True,False
AOI-0001,2010-05-17,озимая пшеница,,0.7477382912960722,True,False
AOI-0001,2010-05-18,озимая пшеница,0.8154570151097014,0.8154570151097014,False,False
AOI-0001,2010-05-19,озимая пшеница,,0.7242011631062852,True,False
AOI-0001,2010-05-20,озимая пшеница,,0.7338641877648763,True,False
AOI-0001,2010-05-21,озимая пшеница,,0.7371590284717466,True,False
AOI-0001,2010-05-22,озимая пшеница,,0.7407848033631712,True,False
AOI-0001,2010-05-23,озимая пшеница,,0.743813483259169,True,False
AOI-0001,2010-05-24,озимая пшеница,,0.7173916579283989,True,False
AOI-0001,2010-05-25,озимая пшеница,0.8427347485303727,0.8427347485303727,False,False
AOI-0001,2010-05-26,озимая пшеница,,0.8070749085475037,True,False
AOI-0001,2010-05-27,озимая пшеница,,0.7345016632527401,True,False
AOI-0001,2010-05-28,озимая пшеница,,0.7334881960064464,True,False
AOI-0001,2010-05-29,озимая пшеница,,0.7246208309397846,True,False
AOI-0001,2010-05-30,озимая пшеница,,0.7297487705886168,True,False
AOI-0001,2010-05-31,озимая пшеница,,0.7209145942002428,True,False
AOI-0001,2010-06-01,озимая пшеница,,0.7421055438549596,True,False
AOI-0001,2010-06-02,озимая пшеница,0.7825531280629143,0.7825531280629143,False,False
AOI-0001,2010-06-03,озимая пшеница,,0.7528548873376681,True,False
AOI-0001,2010-06-04,озимая пшеница,,0.7611083862471938,True,False
AOI-0001,2010-06-05,озимая пшеница,,0.7446660250008443,True,False
