anon_polygon_id,year,start,end,days,z_min,z_mean,ndvi_mean,clim_mean,drop_vs_norm,severity,crop_type,precip_30d,precip_30d_norm,temp_anom,cause,precip_ratio,comment
AOI-0022,2013,2013-10-01,2013-10-16,16,-10.223847137782334,-5.361520056339298,-0.14784200857702548,0.20187151684210275,-0.34971352541912826,Критическая аномалия,подсолнечник,101.18655877453199,50.94109417458223,-2.611482561270856,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",1.99,"Критическая аномалия: NDVI -0.15 против нормы 0.20 (z=-10.2) в течение 16 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0004,2010,2010-04-01,2010-07-03,94,-5.447310714647007,-2.9527758537052007,0.35019843780300347,0.6029630119509876,-0.2527645741479841,Критическая аномалия,озимая пшеница,66.35326161855629,66.613557433854,0.31369543881695794,устойчивое угнетение без явного погодного сигнала,1.0,Критическая аномалия: NDVI 0.35 против нормы 0.60 (z=-5.4) в течение 94 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0054,2011,2011-04-01,2011-05-21,51,-4.833580348344263,-2.9914354026427294,0.4712482134151205,0.6669965064758869,-0.1957482930607664,Критическая аномалия,озимая пшеница,64.7460032855731,67.11602386240351,-2.124863292386205,устойчивое угнетение без явного погодного сигнала,0.96,Критическая аномалия: NDVI 0.47 против нормы 0.67 (z=-4.8) в течение 51 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0017,2024,2024-05-06,2024-10-30,178,-4.77884815035671,-2.3107839913651125,0.25860442804475514,0.5171852897306696,-0.25858086168591443,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.26 против нормы 0.52 (z=-4.8) в течение 178 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0055,2011,2011-04-02,2011-05-09,38,-4.406095990291748,-3.0352828456652574,0.32849595802368575,0.47402106496191593,-0.14552510693823018,Критическая аномалия,озимая пшеница,,,,устойчивое угнетение без явного погодного сигнала,,Критическая аномалия: NDVI 0.33 против нормы 0.47 (z=-4.4) в течение 38 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0005,2015,2015-04-01,2015-04-18,18,-4.329601767135341,-2.451455600317776,0.1463330864427631,0.4030543674100658,-0.2567212809673027,Критическая аномалия,озимая пшеница,75.82510029579521,47.24924180097631,-1.8673687892423065,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",1.6,"Критическая аномалия: NDVI 0.15 против нормы 0.40 (z=-4.3) в течение 18 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0054,2017,2017-08-08,2017-09-10,34,-4.316411182959555,-2.6788601850653304,0.533075430475344,0.7259381822595146,-0.19286275178417056,Критическая аномалия,озимая пшеница,31.479716412143915,30.558835846184152,1.3248745126686738,устойчивое угнетение без явного погодного сигнала,1.03,Критическая аномалия: NDVI 0.53 против нормы 0.73 (z=-4.3) в течение 34 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0030,2019,2019-06-21,2019-07-06,16,-4.302066944896023,-2.7909109818391595,0.5590958589301493,0.7491474120420487,-0.19005155311189936,Критическая аномалия,озимая пшеница,41.200301409123114,56.21852707179484,0.3175547044843914,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",0.73,"Критическая аномалия: NDVI 0.56 против нормы 0.75 (z=-4.3) в течение 16 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
AOI-0054,2021,2021-05-09,2021-06-04,27,-4.286967925264049,-2.431108127101624,0.6902808653751632,0.8095654826310669,-0.11928461725590367,Критическая аномалия,озимая пшеница,128.45638111014438,80.24590489116126,-0.8179669697886417,устойчивое угнетение без явного погодного сигнала,1.6,Критическая аномалия: NDVI 0.69 против нормы 0.81 (z=-4.3) в течение 27 дн.; устойчивое угнетение без явного погодного сигнала
AOI-0054,2019,2019-09-15,2019-09-28,14,-3.861670732247927,-2.6988036663425556,0.46587521887569644,0.6864125784898534,-0.22053735961415694,Критическая аномалия,озимая пшеница,32.3841807287799,40.95429920912984,-0.3248824755947215,"краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)",0.79,"Критическая аномалия: NDVI 0.47 против нормы 0.69 (z=-3.9) в течение 14 дн.; краткое отклонение, погодой не объясняется (вероятно агрооперация или ошибка данных)"
